,text,labels
0,"Show me every example that has word ""it"".",O O O O O O O B
1,Show me all instances that include the word bright rooms.,O O O O O O O O B I
2,"Show me all instances with ""25RMB""",O O O O O B
3,Do we have a vacation in the data?,O O O B I O O O
4,"What are the sentences that include ""income""?",O O O O O O B
5,"What are the instances that have ""a targeted preparation"" included?",O O O O O O B I I O
6,I would like to see all instances that incorporate word bills.,O O O O O O O O O O B
7,Where does a monster appear?,O O B I O
8,"Where does ""plans"" appear?",O O B O
9,Where does slice appear?,O O B O
10,I'd like to see all instances that feature word a specific title.,O O O O O O O O O B I I
11,What are the sentences containing bright rooms?,O O O O O B I
12,"Please show me all examples that feature word ""7 p"".",O O O O O O O O B I
13,Can you list all the occurrences that involve word Johnson.,O O O O O O O O O B
14,"I want to know the cases that entail word ""this home"".",O O O O O O O O O B I
15,"I want to know the cases that entail word ""an exclusive agency"".",O O O O O O O O O B I I
16,Can you list all the occurrences that involve word the floor.,O O O O O O O O O B I
17,"Where does ""7 p"" appear?",O O B I O
18,Can you list all the occurrences that involve word trouble.,O O O O O O O O O B
19,"Where does ""my clothes"" appear?",O O B I O
20,Where in the data does the same thing appear?,O O O O O B I I O
21,I would like to see all instances that incorporate word radio.,O O O O O O O O O O B
22,I would like to see all instances that incorporate word the basement.,O O O O O O O O O O B I
23,"What are the sentences that have ""the truth""?",O O O O O O B I
24,"Please show me all examples that feature word ""an antihistamine"".",O O O O O O O O B I
25,"What are the sentences containing ""the same questions""?",O O O O O B I I
26,Does the reply appear in the dataset?,O B I O O O O
27,"Where in the data do we have ""creativity""?",O O O O O O O B
28,Does Stefan appear in the dataset?,O B O O O O
29,"Show me all instances with ""an increase""",O O O O O B I
30,"Can you list all the occurrences that involve word ""creativity"".",O O O O O O O O O B
31,Show me all cases with us,O O O O O B
32,"I would like to see all instances that incorporate word ""the prizes"".",O O O O O O O O O O B I
33,"Can you provide me with all occurrences that comprise word ""plans"".",O O O O O O O O O O B
34,"Can you provide me with all occurrences that comprise word ""trouble"".",O O O O O O O O O O B
35,What are the sentences that have three pounds?,O O O O O O B I
36,Show me every example that has word plans.,O O O O O O O B
37,What are the instances that have places included?,O O O O O O B O
38,"Can you display all occurrences that contain word ""your boarding pass"".",O O O O O O O O B I I
39,"Are there any instances with ""the meter""?",O O O O O B I
40,Which sentences have the word young children in them?,O O O O O B I O O
41,Give information of the cases that contain word radio.,O O O O O O O O B
42,Can you provide me with all occurrences that comprise word business.,O O O O O O O O O O B
43,What are the samples that include your intention in the data?,O O O O O O B I O O O
44,"Do we have ""young children"" somewhere in the text?",O O O B I O O O O
45,Can you provide me with all occurrences that comprise word desk calendars.,O O O O O O O O O O B I
46,"Where does ""The lease"" appear?",O O B I O
47,"Which sentences have the words ""your boarding pass"" in them?",O O O O O B I I O O
