text,labels
show the prediction for id 743 please.,3
"when determining offensive, what is your roc score?",10
"for the data point with id 274, how could we change the prediction, what is the model's rationale, and what does it predict?",1
what are the gold target frequencies,18
justify the prediction for id 772 please,16
what is the predicted label for 404?,3
show bad predictions,13
what is the predicted label for 404?,3
can you display the instance with id 694?,6
"when a cabinet is in the text, show the distribution of the ground truth values",18
what are some typical mistakes the model makes?,13
"for parliament, what are the nine most important features for the model's predictions?",17
give me an example that is similar to id 251.,2
is it possible to retrieve six data points that are analogous to id 898?,2
is it possible to retrieve an instance that is analogous to id 546?,2
what aspects of the data do you consider when reasoning about examples containing the span the rooms to make decisions,17
does the model predict texts that include about twenty people correctly?,13
please list all cases that contain the token 15 yuan.,0
break down id 222 with a clear explanation,16
where do we have These documents?,0
what set of reasoning do you use to determine if instances containing water dispenser are no hate speeech?,17
what would it take to change how instance 461 is predicted?,1
how does id eight hundred and forty-four look like?,6
please provide more examples that are similar to id 667.,2
show me similar examples to id 683.,2
shed light on id 651 in simple terms,16
describe data,5
show me the data point with id 546,6
what is the predicted label for instance id 819?,3
"for id 850, please provide the prediction.",3
what is the way to change the prediction for the data point with the id number 477?,1
what do you do and what is the data you're trained on like?,4
what are the model's predictions for 114?,3
what does the model predict for id 404?,3
show me at least ten keywords,14
can you list the most important words in the whole dataset with label non-offensive.,17
"what are the sentences containing ""a senior executive""?",0
how did the model predict this?,16
what's your motivation for deciding the predictions of 15 yuan,17
what are the ground truth labels in the data for Stefan,12
what's the likelihood of offensive?,7
show me every example that has word a relaxed atmosphere.,0
"are there any instances with ""a change""?",0
give me the npv on the data,10
please show id 234,6
please display the class freqs,18
can you please retrieve an example that is analogous to id 322?,2
please show 4 cfes for sample with id 208.,1
can you provide me with all examples that have the term a cabinet?,0
show me how to make the model output a different prediction for id 645.,1
5 most important features,17
can you give me all the cases that incorporate the phrase food?,0
"for data point id 92, how would i change the prediction?",1
what are the samples that include your flight number in the data?,0
"for places, what are some mistakes you typically make?",13
what are the statistics of the labels like?,18
i would like to see all instances that incorporate word a vacation.,0
what about id 396?,6
what is the model's prediction for 980?,3
"for data point number 229, how did the model arrive at the prediction decision and what could i do to change this predictions?",1
what's the rate you do correct predictions?,10
show the prediction for id 743 please.,3
top five keywords,14
can you show me how many data the model predicts incorrectly?,13
what's the probability of non-offensive?,7
"i'm a bit lost, what is it?",4
testing acc,10
i need an explanation,16
explain my model's rationale for predict data number one hundred and forty-nine and how to flip this prediction,1
show me examples similar to id one hundred and forty-nine.,2
what aspects of the data do you consider when reasoning about examples containing the span the rooms to make decisions,17
