,text,labels
0,display id nine hundred and seventy-seven please,O O B-id I-id I-id I-id O
1,need an explanation for id 716,O O O O O B-id
2,show me the number data the model forecasts inaccurately?,O O O O O O O O O
3,can you list all cases that have the span a change?,O O O O O O O O O B-includetoken I-includetoken
4,"for those where a party is part of the input, could you tell me the total number of items in the data",O O O B-includetoken I-includetoken O O O O O O O O O O O O O O O O O
5,how can i change the prediction for the data point with an id of 667?,O O O O O O O O O O O O O O B-id
6,justify the prediction for id 590 please,O O O O O B-id O
7,need an explanation for this,O O O O O
8,"just on instances with the table, show me the gold labels?",O O O O B-includetoken I-includetoken O O O O O
9,what are the main characteristics of the model?,O O O O O O O O
10,please provide a description for the dataset,O O O O O O O
11,The position return incorrect predictions,B-includetoken I-includetoken O O O
12,what are the 3 most important features in the texts that include The next step?,O O O O O O O O O O O O B-includetoken I-includetoken I-includetoken
13,"where do we have ""the nurse administer""?",O O O O B-includetoken I-includetoken I-includetoken
14,"for the next stop, what is the distribution of the labels?",O B-includetoken I-includetoken I-includetoken O O O O O O O
15,"for data point number 704, how did the model arrive at the prediction decision and what could i do to change this predictions?",O O O O B-id O O O O O O O O O O O O O O O O O O
16,what are is the distribution of the target variables?,O O O O O O O O O
17,show me all instances that comprise the phrase the police.,O O O O O O O O B-includetoken I-includetoken
18,explain id 25 and provide a rationale,O O B-id O O O O
19,please display the class freqs,O O O O O
20,flip prediction class data point 664,O O O O O B-id
21,what is the resulting label for id 446?,O O O O O O O B-id
22,what classes do we have?,O O O O O
23,id 229 please,O B-id O
24,most important features for predictions,O O O O O
25,please provide some instructions on how to use this,O O O O O O O O O
26,can we chat?,O O O
27,what do we predict for id 66?,O O O O O O B-id
28,what are cfes for 789.,O O O O B-id
29,retrieve 8 examples that are similar to id 461.,O B-number O O O O O O B-id
30,is it possible to retrieve 6 data points that are analogous to id 404?,O O O O O B-number O O O O O O O B-id
31,what's the sensitivity on a steady market?,O O B-metric O B-includetoken I-includetoken I-includetoken
32,please show me how the labels are distributed,O O O O O O O O
33,what are the top two most important features for the models predictions?,O O O O O O O O O O O O
34,show me all instances that comprise the phrase nine different cockroaches.,O O O O O O O O B-includetoken I-includetoken I-includetoken
35,a picture show faulty predictions,B-includetoken I-includetoken O O O
36,what are the top 4 influential features for ids 443 and 820,O O O O B-number O O O O B-id O B-id
37,which sentences have the word your prepared contents in them?,O O O O O B-includetoken I-includetoken I-includetoken O O
38,could you show me an instance that is similar to id 667?,O O O O O O O O O O O B-id
39,what about counterfactuals for id 114.,O O O O O B-id
40,explain the reasoning and how to flip the predictions for data point id 651,O O O O O O O O O O O O O B-id
41,explain id 209 in natural language,O O B-id O O O
42,what's the function of this? what's the data?,O O O O O O O O
43,what are you?,O O O
44,super cool system you got here.... could you show me the predictions across all the data?,O O O O O O O O O O O O O O O O
45,why is id 716 predicted true,O O O B-id O B-class_names
46,how many data points are in the training data set,O O O O O O O O O O
47,could you let me know why you predicted the down payment?,O O O O O O O O B-includetoken I-includetoken I-includetoken
48,description of the model please,O O O O O
49,what are the classes that the model predicts,O O O O O O O O
50,return prediction id 114,O O O B-id
51,"for the data point with id 767, how could we change the prediction, what is the model's rationale, and what does it predict?",O O O O O O B-id O O O O O O O O O O O O O O O O
52,what are the sentences containing 15 yuan?,O O O O O B-includetoken I-includetoken
53,show the feature importances,O O O O
54,want to see the model,O O O O O
55,what aspects of the data do you consider when reasoning about examples containing the span increases to make decisions,O O O O O O O O O O O O O O O B-includetoken O O O
56,please show 4 cfes for sample 68.,O O B-number O O O B-id
57,show me cfe's for the instance with id 509,O O O O O O O O B-id
58,"for Flies, what is the distribution of the labels?",O B-includetoken O O O O O O O
59,show me more samples similar to 263.,O O O O O O B-id
60,what instances are similar to id 312?,O O O O O O B-id
61,"2 most important features for ids 629, 685, and 229",B-number O O O O O B-id B-id O B-id
62,what is the chance that the data point with id 819 is directive,O O O O O O O O O O B-id O B-class_names
63,show me similar examples to id 864.,O O O O O O B-id
64,what's the rate you do correct predictions?,O O O O O O O
65,could you please show me 8 counterfactual examples for id one hundred and forty-seven?,O O O O O B-number O O O O B-id I-id I-id I-id
66,retrieve an instance that is similar to id 516.,O O O O O O O O B-id
67,"which sentences have the word ""the table"" in them?",O O O O O B-includetoken I-includetoken O O
68,does the model predict a party correctly?,O O O O B-includetoken I-includetoken O
69,what are the features,O O O O
70,give information of topk contributed words with label directive.,O O O O O O O O B-class_names
71,show the predictions on all the data,O O O O O O O
72,provide an explanation for id 516 in everyday language,O O O O O B-id O O O
73,what are the 3 most important features in the texts that include the change?,O O O O O O O O O O O O B-includetoken I-includetoken
74,"when scoring false, what's the model's accuracy?",O O B-class_names O O O B-metric
75,i want to see id 322,O O O O O B-id
76,could you show top 3 most important features for the data point 850,O O O O B-number O O O O O O O B-id
77,explain id eight hundred and fifty-six in natural language,O O B-id I-id I-id I-id O O O
78,what are the model's predictions for seven hundred and forty-one?,O O O O O O B-id I-id I-id I-id
79,what data points does the model typically predict wrongly on texts with your prepared contents?,O O O O O O O O O O O O B-includetoken I-includetoken I-includetoken
80,how does the model look like?,O O O O O O
81,explain id 312 in natural language,O O B-id O O O
82,i want to know highest attributed words.,O O O O O O O
